"","Locator","n","Geomean","Median","Max","NThreshold"
"1","BAR_01",4,168,80,1560,1
"2","BAR_02",7,303,520,1680,4
"3","BAR_04",4,117,560,1240,2
"4","BAR_CB0154",2,6,20.5,40,0
"5","BAR_CB6461",3,87,120,5560,1
"6","BAR_CNV0638",3,1,1,1,0
"7","BAR_CNV0642",2,89,120,200,0
"8","BAR_CNV0678",4,6,20.5,40,0
"9","BAR_CNV0696",3,19,80,80,0
"10","BAR_CNV0706",3,62,80,2960,1
"11","BAR_CNV1454",3,52,120,1160,1
"12","BAR_CNV1546",2,6,20.5,40,0
"13","BAR_CNV1779",4,81,160,2280,2
"14","BAR_CNV2248",1,1120,1120,1120,1
"15","BAR_CNV5259",2,9,40.5,80,0
"16","BAR_OSD0490",4,37,80,400,1
"17","BAR_OSD1561",4,28,60,200,0
"18","MAS_03",6,565,610,3440,5
"19","MAS_04",6,840,910,2200,6
"20","MAS_05",8,696,630,3440,6
"21","MAS_06",4,276,320,360,3
"22","MAS_07",6,1062,806.5,2280,6
"23","MAS_08",7,798,1000,1880,7
"24","MAS_09",7,702,640,2480,7
"25","MAS_10",7,986,760,2920,7
"26","MAS_11",3,810,840,1760,3
"27","MAS_12",3,227,520,560,2
"28","MAS_13",6,929,1260,2960,6
"29","MAS_14",3,412,280,1040,3
"30","MAS_16",4,401,423.5,680,4
"31","MAS_17",7,359,240,4440,4
"32","MAS_CNV0437",3,287,320,920,2
"33","MAS_CNV0476",4,91,120,5400,1
"34","MAS_CNV1053",4,192,120,2640,1
"35","MAS_CNV1082",2,1,1,1,0
"36","MAS_CNV1839",2,438,440,480,2
"37","MAS_CNV1870",2,6,20.5,40,0
"38","MAS_CNV2184",2,13,80.5,160,0
"39","MAS_CNV2188",2,18,160.5,320,1
"40","MAS_CNV2603",4,79,220,1000,2
"41","MAS_CNV2784",3,5,1,160,0
"42","MAS_CNV2812",1,1,1,1,0
"43","MAS_CNV2895",2,57,60,80,0
"44","MAS_CNV3779",3,3,1,40,0
"45","MAS_CNV3787",1,1,1,1,0
"46","MAS_CNV3871",3,5,1,120,0
"47","MAS_CNV3936",2,1,1,1,0
"48","MAS_CNV3946",1,560,560,560,1
"49","MAS_CNV3952",1,3040,3040,3040,1
"50","MAS_CNV3993",1,1,1,1,0
"51","MAS_CNV5011",3,721,520,2000,3
"52","MAS_CNV5653",1,1,1,1,0
"53","MAS_CNV6174",3,24,120,120,0
"54","MAS_OSD1448",3,181,80,1840,1
"55","MAS_OSD1860",2,13,80.5,160,0
