"","Locator","Date","LabEC","RCardEC","Dog_biomarker","Hu_biomarker"
"1","BAR_CB6461",2023-12-06,"9",NA,NA,NA
"2","BAR_CB6461",2023-12-20,NA,"80",NA,NA
"3","BAR_CNV0706",2023-12-06,"120",NA,NA,NA
"4","BAR_CNV0706",2023-12-20,NA,"0",NA,NA
"5","BAR_CNV1454",2023-12-06,"140",NA,NA,NA
"6","BAR_CNV1454",2023-12-20,NA,"0",NA,NA
"7","BAR_CNV1779",2023-12-06,"160",NA,NA,NA
"8","BAR_CNV1779",2023-12-20,NA,"40",NA,NA
"9","BAR_CNV2248",2023-12-06,"98",NA,NA,NA
"10","MAS_CNV0437",2023-12-06,"210",NA,8.2,0
"11","MAS_CNV0437",2023-12-20,"5",NA,NA,NA
"12","MAS_CNV0476",2023-12-06,"120",NA,NA,NA
"13","MAS_CNV0476",2023-12-20,NA,"0",NA,NA
"14","MAS_CNV1053",2023-12-06,"52",NA,NA,NA
"15","MAS_CNV1053",2023-12-20,NA,"0",NA,NA
"16","MAS_CNV1838",2023-12-06,NA,"320",NA,NA
"17","MAS_CNV1839",2023-12-20,NA,"80",NA,NA
"18","MAS_CNV2603",2023-12-06,"630",NA,57,26
"19","MAS_CNV2603",2023-12-20,"2000",NA,0,12
"20","MAS_CNV3946",2023-12-06,"580",NA,630,190
"21","MAS_CNV3946",2023-12-20,"22",NA,NA,NA
"22","MAS_CNV3952",2023-12-06,"2000",NA,120,14
"23","MAS_CNV3952",2023-12-20,"74",NA,NA,NA
"24","MAS_CNV5011",2023-12-06,"410",NA,0,0
"25","MAS_CNV5011",2023-12-20,"32",NA,NA,NA
"26","MAS_OSD1448",2023-12-06,"21",NA,NA,NA
"27","MAS_OSD1448",2023-12-20,NA,"0",NA,NA
