"","Date","unique_count","nRCard","Obs","nEC","biomarkers"
"1",2023-09-12,11,12,NA,NA,NA
"2",2023-09-19,19,20,1,NA,NA
"3",2023-09-21,61,32,33,NA,NA
"4",2023-09-27,11,12,NA,NA,NA
"5",2023-10-11,13,15,NA,NA,NA
"6",2023-10-19,71,54,23,NA,NA
"7",2023-10-31,69,52,21,NA,NA
"8",2023-11-06,18,20,NA,NA,NA
"9",2023-12-06,16,4,1,13,5
"10",2023-12-20,22,9,1,15,8
"11",2024-01-18,6,7,NA,NA,NA
"12",2024-01-24,6,7,NA,NA,NA
"13",2024-01-29,31,30,4,NA,NA
"14",2024-02-07,36,36,3,12,3
"15",2024-02-14,36,35,5,NA,NA
"16",2024-02-15,8,9,NA,NA,NA
"17",2024-02-21,6,9,NA,NA,NA
"18",2024-02-27,13,16,1,NA,NA
"19",2024-02-29,10,13,NA,NA,NA
"20",2024-03-12,13,16,NA,NA,NA
"21",2024-03-14,39,40,4,8,4
"22",2024-03-15,11,13,NA,NA,NA
"23",2024-03-18,16,19,1,NA,NA
"24",2024-03-20,8,10,NA,NA,NA
"25",2024-03-27,8,10,NA,NA,NA
"26",2024-03-29,8,10,NA,NA,NA
"27",2024-04-01,6,9,NA,NA,NA
"28",2024-04-02,25,23,4,9,2
"29",2024-04-10,9,11,NA,NA,NA
"30",2024-04-22,35,12,23,9,6
"31",2024-04-25,9,11,NA,NA,NA
"32",2024-04-30,19,23,1,NA,NA
"33",2024-05-01,8,10,NA,NA,NA
"34",2024-05-08,19,22,1,NA,NA
"35",2024-05-22,8,8,1,NA,NA
"36",2024-07-15,34,19,18,NA,NA
"37",2024-07-23,17,15,1,3,3
"38",2024-08-13,6,7,NA,NA,NA
"39",2024-08-28,10,12,NA,NA,NA
"40",2024-09-26,10,12,1,NA,NA
"41",2024-10-23,2,NA,NA,2,1
"42",2024-11-07,16,16,1,NA,NA
"43",2024-12-03,22,26,NA,NA,NA
